Le nom commercial ;Quantité en stock;Prix Public;Date derniére sortie;Listes;Classes;Formes
Genskin creme solaire anti-age t/150g;12;14?449;06/09/2023;SANS TABLEAU;;Pommades cremes
Genskin cr emol protect 250g;12;5?003;15/09/2023;;;Pommades cremes
Genskin eclat creme nourissante t/250g;1;7?553;02/09/2023;;;
Genskin masque visage curcuma santal/100G;0;0;31/05/2022;SANS TABLEAU;;Pommades cremes
Genskin savon exfol aloe karite:150g;0;5?491;04/08/2023;SANS TABLEAU;;Pains
Genskin savon purifiant charbon /150g;2;5?660;13/07/2023;SANS TABLEAU;;Pains
Gentacil 0.3% coll gtte f/7.5ml;0;1?178;20/07/2023;LISTE I;;Comprimes Gelules
Genta gtte a;14;1?273;22/09/2023;LISTE I;;Gouttes auriculaires
Gentapro coll f/5ml;0;2?899;21/06/2021;I;;Comprimes Gelules
Gentasol collyre;51;976;22/09/2023;LISTE I;;Collyres
Genvas 10mg cpr b/30;2;5?679;21/09/2023;I;;Comprimes Gelules
Genvas 20 cp b/30;2;8?152;21/08/2023;I;;Comprimes Gelules
Gestane cp;2;5?504;05/09/2023;SANS TABLEAU;;Comprimes Gelules
Gestane grossesse caps b/30;0;8?558;19/05/2023;ST;;Comprimes Gelules
Gillette blue 3 rasoir b/3;0;6?431;11/01/2021;ST;;Divers 
Ginseg gelee royale ampoule;0;5?331;01/04/2017;SANS TABLEAU;;Ampoules buvables
Glema 1mg;0;2?149;01/04/2017;LISTE I;;Comprimes Gelules
Glema 2mg;0;2?873;01/12/2019;LISTE I;;Comprimes Gelules
Glema 4 mg ;0;4?626;04/02/2018;LISTE I;;Comprimes Gelules
Glibomet cp;0;2?873;18/08/2022;LISTE I;;Comprimes Gelules
Glide 60 mg cp b/150;0;25?073;14/02/2023;;;Comprimes Gelules
Glide lp 60 mg cp b/30;6;9?973;17/09/2023;LISTE I;;Comprimes Gelules
Glide M LP 60/500 cp;3;12?473;06/08/2023;LISTE I;;Comprimes Gelules
Glide M LP 60/850 cp;5;13?120;22/09/2023;LISTE I;;Comprimes Gelules
Glimepiride denk 2mg b/30;1;3?850;11/08/2023;LISTE I;;Comprimes Gelules
Glucometre ;0;40;07/12/2022;di;;Divers 
Glucophage 1000mg cp B/30;9;3?171;19/09/2023;LISTE I;;Comprimes Gelules
Glucophage 500mg cp B/30;16;1?160;22/09/2023;LISTE I;;Comprimes Gelules
Glucophage 850mg cp B/100;-2;2?957;20/09/2023;LISTE I;;Comprimes Gelules
Glucophage 850mg cp B/30;33;2?971;20/09/2023;LISTE I;;Comprimes Gelules
Glucosamine Gagnon extra fort 750mg cp b/120;0;17?231;23/02/2020;SANS TABLEAU;;Comprimes Gelules
Glucose 5% bb ecofla 500ml;0;769;29/12/2019;SANS TABLEAU;;Solutions buvables ou rectales
Glucose 5% z braun f/500ml;0;5?449;26/09/2020;ST;;Solutions buvables ou rectales
Glucose 5% z chimin f/500ml;0;30;10/12/2018;LISTE II;;Solutions buvables ou rectales
Glucose hfm 10% sil inj f/500ml;0;440;31/08/2019;SANS TABLEAU;;Injectables
Glucovance 1000mg/5mg cp;5;5?280;06/09/2023;LISTE I;;Comprimes Gelules
Glucovance 500mg/2.5mg cp;0;3?733;21/09/2023;LISTE I;;Comprimes Gelules
Glycerine fl/60ml;1;1?376;21/03/2023;SANS TABLEAU;;Solutions externes lotions
Glycerine fl/60ml;0;438;07/12/2022;SANS TABLEAU;;Solutions externes lotions
Glycerine gilbert fl 60ml;0;1?168;06/02/2023;SANS TABLEAU;;Spray solutions externes
Glycerine officinal 30ml;0;447;28/03/2023;SANS TABLEAU;;Solutions externes lotions
Glycerine officinal 500ml;1;4?614;24/01/2023;SANS TABLEAU;;Solutions externes lotions
Glycothymoline 55 sol fl/250ml;0;40;16/12/2019;;;
GOP 300mg gel b/30;0;5?534;25/06/2020;LISTE I;;Comprimes Gelules
Gorpilis miel citron b/24;0;1?461;23/06/2023;ST;;Sachets Granules poudres orales
Gorpils citron b/24;1;1?237;22/09/2023;LISTE II;;Sachets Granules poudres orales
Gorpils mentho eucalyptus past b/24;4;1?505;19/09/2023;ST;;Comprimes Gelules
Goupillon dodie;0;6?335;;SANS TABLEAU;;Divers 
Goupillon luc et lea ;0;7?690;04/05/2023;SANS TABLEAU;;Divers 
Gramocef 100 sp;6;8?432;23/05/2023;LISTE I;;Sirops
Gramocef 200 cp;4;3?885;19/09/2023;LISTE I;;Comprimes Gelules
Gramocef 50 sp;2;4?367;17/06/2023;LISTE I;;Sirops
Gripex lemon sht b/10;6;2?287;20/09/2023;SANS TABLEAU;;Sachets Granules poudres orales
Griplyse 125mg/1mg/12.5mg sp f/100ml;1;2?425;09/05/2023;ST;;Sirops
Griplyse cp b/20;0;1?151;13/11/2022;SANS TABLEAU;;Comprimes Gelules
Grisefuline 250mg cpr b/30;1;2?700;18/09/2023;LISTE I;;Comprimes Gelules
Grisefuline 500mg b/20;1;3?570;07/08/2023;;;Comprimes Gelules
Griseofon;6;1?561;05/08/2023;LISTE I;;Comprimes Gelules
Griseofulvine 250 creat cp B/10x10;0;487;10/10/2022;LISTE I;;Comprimes Gelules
Griseofulvine 250mg cp 10x10;0;5?021;03/12/2019;LISTE I;;Comprimes Gelules
Griseofulvine 500 creat cp B/10x10;0;885;29/11/2022;LISTE I;;Comprimes Gelules
Griseofulvine cp 500mg cpr pell b/10bl10;0;10?585;21/10/2019;LISTE I;;Comprimes Gelules
Griseopharm 125 mg ;1;1?012;12/08/2023;LISTE I;;Comprimes Gelules
Griseopharm 250 cp B/30;2;1?804;11/09/2023;LISTE I;;Comprimes Gelules
Griseopharm 500 cp B/20;12;1?977;01/09/2023;LISTE I;;Comprimes Gelules
Griseo S pde T/15gr;0;743;10/03/2020;LISTE I;;Gel cutane
G tset screen b/1;0;1?576;09/04/2020;;;
Guaflex sp f/120ml;1;1?957;20/09/2023;SANS TABLEAU;;Sirops
Guamen sp fl/200ml;6;195;21/09/2023;II;;Sirops
Gucose 5% z chimin f/5000ml;0;6?400;18/10/2018;ST;;Solutions buvables ou rectales
Guigoz1;13;2?495;19/09/2023;SANS TABLEAU;;Farines et lait
Guigoz 2;1;2?500;12/09/2023;SANS TABLEAU;;Farines et lait
Guigoz confort 1lait pdr b/400g;0;6?616;23/10/2019;ST;;Lait
Gumforte dentif t/100g;1;2?846;21/09/2023;ST;;Dentifrices et brosses
Gumforte junior dentif fraise t/50+bad;0;0;24/08/2023;SANS TABLEAU;;Dentifrices et brosses
Guronsan cp eff B/30;0;224;21/02/2019;LISTE II;;Comprimes Gelules
Gvia 50mg b/28;1;13?527;10/02/2023;I;;Comprimes Gelules
Gvia m 50/500mg cp b/60;2;66;22/08/2023;I;;Comprimes Gelules
Gyala DS 100mg/5ml sp f/30ml;3;4?730;20/07/2023;LISTE II;;Sirops
Gyala DS 200mg/5ml sp f/30ml;4;3?356;07/08/2023;ST;;Sirops
Gynanfort ovules b/10;7;2?531;15/09/2023;LISTE I;;Ovules comprimes gynecologiques
Gynanfort ovules b/6;0;2?302;30/07/2021;LISTE I;;Ovules comprimes gynecologiques
Gyngab 50mg caps b/35;0;86;;ST;;Comprimes Gelules
Gynomax ovule B/12;9;4?643;21/09/2023;LISTE I;;Ovules comprimes gynecologiques
Gyno Mycolex creme;1;40;14/04/2023;;;Ovules comprimes gynecologiques
Gyno Mycolex ovules 400mg b/3;2;3?143;11/09/2023;LISTE I;;Ovules comprimes gynecologiques
Gynopill 1,5mg cp rb/1;0;3?647;24/12/2020;I;;Comprimes Gelules
Gynospan cp;9;1?914;11/08/2023;SANS TABLEAU;;Comprimes Gelules
Gynospan inj ;0;40;;LISTE I;;Injectables
Gynospan suppo;6;1?827;18/07/2023;SANS TABLEAU;;Suppositoires
Haemup injectable amp/5ml b/5;1;12?379;11/09/2023;ST;;Injectables
Hair removal;0;40;28/11/2019;;;creme
Hair removal;0;40;28/11/2019;;;creme
Haldol 5mg cp b/30;0;0;09/02/2023;LISTE I;;Comprimes Gelules
Haldol decanoas sol inj 1ml/5;0;16?408;03/11/2019;LISTE I;;Injectables
Haldol sol inj 1ml/1;0;3?673;06/05/2020;LISTE I;;Injectables
Haleflu sachet b/10;5;1?648;02/09/2023;ST;;Sachets Granules poudres orales
Halibut pommande t/100g;5;2?347;11/09/2023;ST;;Pommades cremes
Halopara 100mg cp b/8;17;991;26/08/2023;SANS TABLEAU;;Comprimes Gelules
Halopara 500mg cp b/16;3;0;19/09/2023;SANS TABLEAU;;Comprimes Gelules
Halospa S cp b/10;2;30;11/09/2023;LISTE II;;Comprimes Gelules
Hapenz siroop;2;2?474;22/09/2023;SANS TABLEAU;;Sirops
Hcg test;0;1?406;09/06/2022;SANS TABLEAU;;Divers 
HC Nex 1% pde T/15g;1;1?966;13/03/2023;SANS TABLEAU;;Pommades cremes
Hct xl lp 50mg cp b/40;0;5?240;14/10/2021;I;;Comprimes Gelules
Helicidine sp Fl/250ml;3;3?173;19/09/2023;SANS TABLEAU;;Sirops
Helmintox 750mg sachet;117;1?268;19/09/2023;SANS TABLEAU;;Comprimes Gelules
Helmintox sp;5;40;04/09/2023;;;
Hemafer cp a croquer;5;5?265;12/09/2023;SANS TABLEAU;;Comprimes Gelules
Hemafer cp eff;4;4?098;22/09/2023;LISTE II;;Comprimes Gelules
Hemafer fol cp a croquer;9;5?268;12/09/2023;SANS TABLEAU;;Comprimes Gelules
Hemafer fol cp effv b/12;4;7?178;05/05/2023;LISTE II;;Comprimes Gelules
Hemafer injectable;0;14?863;01/09/2023;LISTE I;;Injectables
Hemafer sirop;0;2?975;19/09/2023;SANS TABLEAU;;Sirops
Hemorex kit cr tb35g + vpr bt30;7;79;19/09/2023;I;;Comprimes Gelules
Hepazyme cp;0;4?194;05/05/2021;ST;;Comprimes Gelules
Herbal pate dent;0;2?001;07/02/2019;SANS TABLEAU;;Dentifrices et brosses
Hexaspray collu fl presseur 30g;4;2?442;05/09/2023;ST;;Spray solutions externes
Hexaxim sup buv f/120ml;0;2?425;08/02/2022;ST;;Vaccins
Hexaxim sup inj perf/0.5ml b/1;0;29?605;04/03/2023;I;;Injectables
Hexidine bain bche f/160ml;4;1?626;13/09/2023;SANS TABLEAU;;Bains de bouche
Hexigel ;3;888;13/09/2023;SANS TABLEAU;;Gel buccal 
Hispaghol sachet;0;3?365;08/01/2020;SANS TABLEAU;;Sachets Granules poudres orales
Ht 26 gel douche ;0;3?411;;;;
ht 26 gomme;0;3?489;23/02/2021;SANS TABLEAU;;Baume Lait
Ht 26 homme lait;0;17?825;11/01/2021;ST;;Lait
HT26 Lait action tache hle carotte fl/500ml;2;44?585;04/03/2022;SANS TABLEAU;;Baume Lait
Ht26 lait corp f/500ml;0;25?298;23/05/2019;SANS TABLEAU;;Lait
Ht26 lait multieclair;0;19?377;23/10/2019;SANS TABLEAU;;Lait
HT26 Lait multi eclair harmoni teint500ml;0;27?670;18/07/2020;SANS TABLEAU;;
Ht26 lotion anti taches 100ml;0;0;13/03/2019;SANS TABLEAU;;Lait
Huile camphre 125 cc valda;1;386;16/09/2023;ST;;Divers 
Huile camphre 500ml;1;3?963;28/05/2023;SANS TABLEAU;;Divers 
Huile d'amande douce fl/30ml;9;804;24/06/2023;SANS TABLEAU;;Solutions externes lotions
Huile d'amande douce fl/500ml;1;5?126;05/02/2023;SANS TABLEAU;;Solutions externes lotions
Huile d'amande douce Gilbert fl/60ml;0;4?678;12/06/2023;SANS TABLEAU;;Solutions externes lotions
Huile d'argan;2;3?571;09/05/2023;SANS TABLEAU;;
Huile de baobab;0;1?642;01/04/2019;SANS TABLEAU;;Solutions externes lotions
Huile de menthe f/60ml;0;3?557;16/09/2020;SANS TABLEAU;;Lait
Huile de paraffine;5;1?141;15/09/2023;SANS TABLEAU;;Solutions externes lotions
Huile de paraffine 500;0;6?256;15/11/2021;;;
Huile de ricin fl/30ml;13;695;19/09/2023;SANS TABLEAU;;Divers 
Huile de ricin fl/500ml;2;5?072;31/08/2023;SANS TABLEAU;;Solutions externes lotions
Huile d'olive  60ml;0;6?545;23/12/2020;ST;;Divers 
Humex 030/0.03g coll spr/35ml;1;4?427;20/09/2023;SANS TABLEAU;;Sirops
Humex collutoire;0;40;02/12/2022;;;
Humexo sp 150ml;3;3?315;09/04/2023;ST;;Sirops
Humex rhume  jour et nuit/12 gel/4;0;2?992;25/05/2023;;;Comprimes Gelules
Hydratec pdre sol buv sach b/10;2;3?338;22/08/2023;SANS TABLEAU;;Sachets Granules poudres orales
Hydroclean advance carr 10 CM B/10;8;2?786;30/06/2022;SANS TABLEAU;;Compresses medicamenteuses
Hydrocortisone inj pdr  amp 2ml;0;1?770;26/01/2023;I;;Injectables
Hydrosol eurolab gtte;14;819;11/09/2023;SANS TABLEAU;;Gouttes buvables
Hydrosol Pharma gtte;0;891;13/08/2022;LISTE II;;Gouttes buvables
Hydroxyzine 25mg arrow ;0;2?480;15/03/2023;LISTE I;;Comprimes Gelules
Hydroxyzine arrow sol nas isoton spr/50ml;0;2?703;12/10/2022;ST;;Divers 
Hyfresh 0.2% sol oph f/10ml;6;6?266;17/09/2023;SANS TABLEAU;;Collyres
Hypafix 10cmx2m;26;1?657;16/09/2023;SANS TABLEAU;;Divers 
Hypafix 10x10;3;4?845;19/09/2023;LISTE II;;
Hypafix 5x5;52;553;01/09/2023;SANS TABLEAU;;
Hyquin 200mg cp b/30;0;3?515;12/06/2023;SANS TABLEAU;;Comprimes Gelules
Hyseac 3 regul 40ml;0;40;08/07/2020;;;
Hyseac gel moussant;0;40;05/05/2021;;;
Hytacand 16mg/12.5mg cp b/30;1;15?872;05/09/2023;LISTE I;;Comprimes Gelules
Hytacand 8/12,5mg cp b/30;0;40;02/10/2020;;;
Ibeflox cp;0;3?131;21/02/2022;LISTE I;;Comprimes Gelules
Ibesartan BGR 300mg;0;40;18/03/2022;LISTE I;;Comprimes Gelules
Ibumol sirop;3;1?395;22/09/2023;LISTE II;;Sirops
Ibuprofen 400mg Ubigen b/10x10 ;792;264;22/09/2023;LISTE II;;Comprimes Gelules
Ibuprofen GH cp b/10x10;312;1?438;22/09/2023;LISTE II;;Comprimes Gelules
Ibuprofen GH sirop 200ml;0;1?443;31/08/2023;LISTE II;;Sirops
Ibuprofen susp gh 120ml;0;1?583;27/07/2022;LISTE II;;Sirops
Ibuprofen susp gh 120ml;0;1?069;;LISTE II;;Sirops
Ibuprofen vir 600mg cpr b/20;0;2?700;05/01/2023;ST;;Comprimes Gelules
Ibutamol cp b/20;0;1?166;12/04/2022;SANS TABLEAU;;Comprimes Gelules
Iclof gel t/30g;1;925;01/08/2023;LISTE II;;Pommades cremes
Ictyane ducray lait T/500ml;1;12?678;19/11/2022;SANS TABLEAU;;Baume Lait
Ictyane ducray pain;0;4?186;15/05/2021;SANS TABLEAU;;Pains
Ictyane ducray stick levres sech/abim3g;0;7?526;04/03/2022;ST;;Divers 
Idol suppo;5;1?008;19/09/2023;LISTE I;;Suppositoires
Ignafaan cereale ;6;2?330;03/05/2023;ST;;Farines et lait
Ilax 10mg sachets bte/10;2;0;19/09/2023;LISTE I;;Comprimes Gelules
Ilax 10mg sachets bte/20;0;2?217;23/08/2023;SANS TABLEAU;;Sachets Granules poudres orales
Ilax 4mg sachets ;2;1?580;05/09/2023;LISTE II;;Sachets Granules poudres orales
Imeth 10mg cp b/10;0;9?298;08/07/2022;LISTE I;;Comprimes Gelules
Immun active denk sachets b/20;12;6?416;09/09/2023;SANS TABLEAU;;Sachets Granules poudres orales
Immunorho 300mlcg(1500UI);0;42?314;09/03/2021;SANS TABLEAU;;Suppositoires
Imodium lingual lyophil b/12;0;30;05/05/2021;LISTE II;;Comprimes Gelules
Imovax inj;0;5?050;17/03/2023;SANS TABLEAU;;Injectables
Imox 500mg cp;5;1?793;12/09/2023;LISTE I;;Comprimes Gelules
Imuclav 1125 100mg/125mg cpr b/12;3;47;10/05/2023;I;;Comprimes Gelules
Imuclav duo sp 60ml;1;4?016;13/05/2023;ST;;Sirops
Imuclav ultra sp 60ml;0;4?044;09/04/2020;ST;;Sirops
Indapril 1.25mg/5mg cp b/30;1;9?680;21/09/2023;LISTE I;;Comprimes Gelules
Indapril 2.5mg/10mg cp b/30;2;13?111;30/07/2023;LISTE I;;Comprimes Gelules
Indocinex coll f/5ml;26;2?530;22/09/2023;I;;Collyres
Infen 25 cp;5;869;22/09/2023;LISTE I;;Comprimes Gelules
Infinity bandelettes b/50;2;17?540;22/09/2023;ST;;Divers 
Infinity kit lecteur glycemie mg/dl b/1;1;12?388;27/05/2023;SANS TABLEAU;;Divers 
Infinity lancettes b/100;0;5?435;19/08/2022;SANS TABLEAU;;Divers 
Inflakin etats inflammatoires cpr b/10;1;8?207;17/11/2022;LISTE II;;Comprimes Gelules
Inflakin etats inflammatoires cpr b/30;0;704;03/06/2021;ST;;Comprimes Gelules
Inhalateur rossmax 1-5 ans;0;40;21/12/2019;;;
Instaclop plus 75/75 gel b/30;0;40;15/09/2023;LISTE I;;Comprimes Gelules
Insul actrapid;10;906;21/03/2023;LISTE II;;Divers 
Insulatard ins;22;886;26/08/2023;LISTE II;;Injectables
Insulet mix;0;964;17/02/2023;LISTE I;;Injectables
Insu novarapid ;0;17?914;05/03/2019;LISTE II;;Injectables
Intimy gel lubrifiant;4;4?468;13/09/2023;SANS TABLEAU;;Gel lubrufiant
Intimy gel lubrifiant fleur de coton ;0;5?263;03/03/2023;SANS TABLEAU;;Gel uretral
Intraglobin stick 10ml b/20;1;4?322;02/03/2023;SANS TABLEAU;;Sachets Granules poudres orales
Introglobin sirop fl/200ml;2;5?310;20/02/2023;SANS TABLEAU;;Sirops
Ioprost collyre;2;10?250;15/09/2023;LISTE I;;Collyres
Ipozole 20mg gelule b/30;1;4?339;29/11/2022;LISTE II;;Comprimes Gelules
Ipproton 20mg gel b/28;1;5?533;16/07/2023;ST;;Comprimes Gelules
Irys 1mg cp;1;3?186;18/07/2021;LISTE I;;Comprimes Gelules
Irys 2mg cp;0;3?248;20/09/2023;LISTE I;;Comprimes Gelules
Irys 3mg cp;2;4?258;21/04/2023;LISTE I;;Comprimes Gelules
Irys 4mg;3;0;11/09/2023;LISTE I;;Comprimes Gelules
Isispharma baume hydratant keratolytique;1;8?667;;SANS TABLEAU;;Baume Lait
Isispharma Uveblock spf 50+ fluide dry touch t/40ml;0;10?616;19/12/2022;;;Solutions externes lotions
Isolone 20mg cp dispersibles B/30;2;3?581;21/08/2023;LISTE I;;Comprimes Gelules
Isolone 20mg eff ;3;3?618;07/06/2023;LISTE I;;Comprimes Gelules
Isolone 5mg cp B/30;11;1?877;17/08/2023;LISTE I;;Comprimes Gelules
Isoptine 120mg cp ;0;3?555;30/05/2020;I;;Comprimes Gelules
Isoptine 240mg;0;6?049;09/12/2021;LISTE I;;Comprimes Gelules
Isoptine 420 lp cp b/30;0;8?183;30/03/2022;I;;Comprimes Gelules
Isoptine lp 240mg cp b/30;0;107;12/12/2021;I;;Comprimes Gelules
Isoptopilocarpine 2% cy 10ml;0;86;05/10/2020;I;;Collyres
Iso-urea lait ;0;15?458;22/11/2018;SANS TABLEAU;;Baume Lait
Ispaghol;0;2?823;03/06/2023;SANS TABLEAU;;Thisanes et thes
Ixine 100 sp enf;2;3?154;11/09/2023;LISTE I;;Sirops
Ixine 200mg b/10;0;2?898;27/06/2023;LISTE I;;Comprimes Gelules
Ixine 40 sp nn;3;2?531;11/09/2023;LISTE I;;Sirops
Iz 200 sp fl/15ml;1;3?421;22/10/2022;LISTE I;;Sirops
Iz 500 cp b/3;0;3?743;24/09/2022;;;Comprimes Gelules
Jersey hydrofuge 10x10cm bt 1;1;16?564;06/03/2023;ST;;Divers 
Jersey tubul 10mx10cm bsn ;0;13?073;11/04/2019;SANS TABLEAU;;Divers 
Jesper cp;4;2?766;06/09/2023;LISTE I;;Comprimes Gelules
Joint active comprimes;1;11?982;13/09/2023;SANS TABLEAU;;Comprimes Gelules
Juvamine allait the sach b/30;0;2?466;16/06/2020;SANS TABLEAU;;Thisanes et thes
Juvamine appetit tonus sp;7;40;15/09/2023;;;
Juvamine boost guarana cp b/30;0;0;03/09/2023;SANS TABLEAU;;Comprimes Gelules
Juvamine Fizz 11vit 7min cp eff b/30;5;2?922;11/09/2023;;;Comprimes Gelules
Juvamine fizz 3c calcium vit c1000 cafeine cp eff b/15;0;1?764;18/05/2023;SANS TABLEAU;;Comprimes Gelules
Juvamine fizz mono gold cp eff bte 15;0;2?142;01/09/2023;SANS TABLEAU;;Comprimes Gelules
Juvamine fizz mono gold cp eff bte 30;4;4?157;04/09/2023;SANS TABLEAU;;Comprimes Gelules
Juvamine ginseng tonus amp buv;7;5?162;21/09/2023;SANS TABLEAU;;Ampoules buvables
Juvamine magnesium B6;0;3?111;28/08/2023;LISTE II;;Comprimes Gelules
Juvamine magnesium vitamine B6 B2 eff b/30;2;6?759;05/09/2023;LISTE II;;Comprimes Gelules
Juvamine mono 3C cp eff b/15;1;1?526;19/09/2023;SANS TABLEAU;;Comprimes Gelules
Juvamine mono vit c 1000 cp eff b/15;0;2?428;15/06/2023;;;Comprimes Gelules
Juvamine performance cp b/40;1;6?113;11/09/2023;;;Comprimes Gelules
Juvamine taurine ;0;3?564;07/07/2023;SANS TABLEAU;;Comprimes Gelules
JUVAMINE VIT C1000 CPR EFF B/30;3;0;12/09/2023;SANS TABLEAU;;Comprimes Gelules
JUVAMINE VIT C1000 CPR EFF B/30;2;3?166;11/09/2023;SANS TABLEAU;;Comprimes Gelules
Juvamine vit c 500 eff b/30;0;4?378;09/09/2023;ST;;Comprimes Gelules
Juvamine vit c 500 sec a croquer;0;5?185;08/11/2022;;;Comprimes Gelules
Juvamine vit c 500 sec a croquer;1;1?233;04/09/2023;ST;;Comprimes Gelules
Kaleorid cp;0;40;29/03/2023;LISTE I;;Comprimes Gelules
Kaleorid Leo lp cp b/30;2;1?364;29/03/2023;ST;;Comprimes Gelules
Kamagra gel b/1;0;9?903;28/04/2023;LISTE I;;Comprimes Gelules
Karisen anti tache;0;5?100;03/08/2022;SANS TABLEAU;;Baume Lait
Karisen correct anti tache 200ml;1;5?482;19/07/2023;SANS TABLEAU;;Solutions externes lotions
Karisen lait hydra plus 200ml;1;5?920;09/04/2020;ST;;Lait
Karisen whitening fl/200ml;0;0;15/03/2022;SANS TABLEAU;;Baume Lait
Karissen anti chute ;1;4?460;18/07/2023;SANS TABLEAU;;Pommades cremes
Karissen antipell creme pot/125ml;0;3?863;19/03/2022;SANS TABLEAU;;Baume Lait
Karissen shampooing;0;4?818;02/07/2018;SANS TABLEAU;;Shampooing
Karissen sh croissance vit AB200ml;0;5?333;27/06/2022;SANS TABLEAU;;
Kazol 2% creme t/15g;1;1?303;28/07/2023;LISTE II;;Pommades cremes
Kefrox 250 comprimes;0;3?248;25/08/2019;LISTE I;;Comprimes Gelules
Kefrox sirop;0;2?208;25/10/2021;SANS TABLEAU;;Sirops
Kelo cote cicatrices t/15g;8;6?685;13/06/2023;ST;;Pommades cremes
Kem susp buv 200ml;1;13?312;20/05/2022;ST;;Sirops
Keozol 2% creme t/15;6;76;22/09/2023;I;;Pommades cremes
Keozol 2% cr t/30g;0;40;25/08/2023;;;
Keprox 250;0;40;;LISTE I;;Comprimes Gelules
Keracnyl control soin regu cr 30ml;0;9?664;17/03/2020;;;Pommades cremes
Keracnyl gel mousssant;2;11?426;24/04/2023;SANS TABLEAU;;Pommades cremes
Keracnyl lotion purifiante peaux grasses a imperfections;1;10?647;21/01/2023;SANS TABLEAU;;Baume Lait
Keracnyl matif hydr jour cr/30ml;0;7?914;17/06/2022;SANS TABLEAU;;Baume Lait
Keracnyl pp creme soin imperf /30ml;0;13?353;27/04/2023;ST;;Pommades cremes
Keracnyl serum fl/40 ml;0;13?065;24/05/2023;SANS TABLEAU;;Solutions externes lotions
Keracnyl stop bouton del t/10ml;0;8?181;09/12/2022;SANS TABLEAU;;
Keratosane 30% cr kerat t/40ml;0;8?886;21/03/2020;SANS TABLEAU;;Pommades cremes
Kestine 10mg;0;2?139;17/05/2020;LISTE II;;Comprimes Gelules
Ketesse 25mg cpr b/10;1;605;09/11/2022;II;;Comprimes Gelules
Ketesse 25mg cpr b/20;0;4?518;27/05/2021;II;;Comprimes Gelules
Ketesse injectable ;0;935;28/05/2023;LISTE I;;Injectables
Ketoflex 100mg supp b/10;0;1?683;14/04/2023;LISTE II;;Suppositoires
Ketoflex 50mmg gel ;2;2?151;10/08/2023;II;;Comprimes Gelules
Ketonal 100 cp;0;1?802;22/11/2021;LISTE II;;Comprimes Gelules
Ketonal 100mg inj b/5;1;2?207;10/08/2023;LISTE II;;Injectables
Ketonal duo cp;0;5?699;22/09/2019;II;;Comprimes Gelules
Ketonal gel;0;1?446;07/05/2021;LISTE I;;Gel cutane
Ketonal suppo;1;1?752;26/02/2023;LISTE II;;Suppositoires
Ketoprofen GH 100mg cp b/30;3;1?450;22/09/2023;LISTE II;;Comprimes Gelules
Ketoprofen GH suppo;38;1?563;20/09/2023;LISTE II;;Suppositoires
Ketum gel 2,5% Tube doseur /120g;0;3?685;04/10/2022;LISTE II;;Gel cutane
Kinafon suppo;4;2?114;28/08/2023;SANS TABLEAU;;Suppositoires
Kinal codeine cp;0;1?675;20/09/2023;LISTE I;;Comprimes Gelules
Kinal ss aspirine bte 30x6;29;105;20/09/2023;SANS TABLEAU;;Spray solutions externes
Kinazol 500mg ov bt/10;0;4?569;03/05/2020;LISTE II;;Ovules comprimes gynecologiques
Kinazol shamp 2% f/100ml;0;841;16/05/2020;I;;Shampooing
Kinazol sol;0;4?695;13/02/2020;LISTE II;;Spray solutions externes
Kiss banane preservatif;0;94;29/05/2021;SANS TABLEAU;;Divers 
Kiss classic b/3;0;3?186;20/05/2021;ST;;Divers 
Kiss fraise preservatif b/24;0;1?406;10/12/2022;ST;;Divers 
Kiss fresh b/3;0;1?425;05/12/2022;ST;;Divers 
Kiss gold chaud/froid b/3;7;0;22/09/2023;SANS TABLEAU;;Divers 
Kiss gold confort max ;0;784;26/07/2023;ST;;Divers 
Kiss gold gel lubrifiant 75ml;3;3?641;06/09/2023;ST;;Gel cutane
Kiss passion b/3;0;3?309;10/11/2020;ST;;Divers 
Klavmox 1125mg sachet b/15;1;5?261;22/09/2023;I;;Sachets Granules poudres orales
Kl bb lait hydr 750ml ;0;52;06/01/2019;ST;;Lait
Klipal 300 cp;48;1?446;07/09/2023;LISTE I;;Comprimes Gelules
Klipal 600 cp;15;1?644;22/09/2023;LISTE I;;Comprimes Gelules
Klipal codeine;39;40;19/07/2023;;;Comprimes Gelules
Klorane ADPsavon parf oeillet 100g;0;30;18/07/2021;LISTE II;;
Klorane bb  poudre toil prot 100g;0;6?763;20/10/2022;;;
Klorane bebe;0;11?415;04/08/2019;SANS TABLEAU;;Baume Lait
Klorane bebe;0;40;15/02/2020;;;
Klorane bebe gel lav dx corps/chvx/200ml;0;7?179;09/09/2021;LISTE I;;
"Klorane bebe gel lav dx corps/chvx/500ml;";0;10?749;24/08/2023;ST;;Divers 
Klorane bebe lait de toilette fl/500ml;2;0;10/08/2023;SANS TABLEAU;;Baume Lait
Klorane bebe lait hydratant f/750ml;0;15?843;29/04/2022;;;Lait
Klorane bebe sh demelant t/200ml;0;10?169;28/04/2022;ST;;Shampooing
Klorane dermo protec lait corp hydra 400ml;0;10?424;07/01/2020;SANS TABLEAU;;Baume Lait
Klorane lingette;0;4?745;25/07/2022;SANS TABLEAU;;Divers 
Klorane savon;0;5?169;22/02/2022;SANS TABLEAU;;Pains
Klorane shampooing tres doux f/250ml;0;7?199;11/03/2022;I;;Shampooing
Labello cerise 4.8g;0;9?081;24/09/2022;ST;;
Labello cerise 4.8g;0;40;27/11/2020;;;
Labello classic 4.8g;0;6?099;27/11/2020;ST;;
